Diretoria Regional,Código IBGE,Município,Número de alunos extremamente pobres potenciais beneficiários,Número de alunos extremamente pobres que receberam o benefício,Percentual de alunos extremamente pobres que receberam o benefício,Número de alunos pobres potenciais beneficiários,Número de alunos pobres que receberam o benefício,Percentual de alunos pobres que receberam o benefício,Total de dinheiro repassado aos beneficiários
Uberlândia,3100104,Abadia dos Dourados,78,66,0.8461538461538461,31,0,0,16200
Divinópolis,3100203,Abaeté,98,91,0.9285714285714286,151,89,0.5894039735099338,31400
Timóteo,3100302,Abre Campo,461,344,0.7462039045553145,129,52,0.40310077519379844,101700
Timóteo,3100401,Acaiaca,167,163,0.9760479041916168,21,19,0.9047619047619048,46900
Governador Valadares,3100500,Açucena,396,334,0.8434343434343434,82,22,0.2682926829268293,92000
Teófilo Otoni,3100609,Água Boa,1546,1318,0.8525226390685641,92,36,0.391304347826087,375250
Uberaba,3100708,Água Comprida,61,58,0.9508196721311475,0,0,0,15400
Divinópolis,3100807,Aguanil,53,44,0.8301886792452831,20,6,0.3,12200
Teófilo Otoni,3100906,Águas Formosas,1488,1449,0.9737903225806451,193,87,0.45077720207253885,412400
Salinas,3101003,Águas Vermelhas,1347,1340,0.9948032665181886,101,47,0.46534653465346537,394750
Governador Valadares,3101102,Aimorés,509,487,0.9567779960707269,258,80,0.31007751937984496,139500
Varginha,3101201,Aiuruoca,67,45,0.6716417910447762,14,0,0,10850
Varginha,3101300,Alagoa,16,14,0.875,7,0,0,4000
Poços de Caldas,3101409,Albertina,4,3,0.75,1,0,0,700
Juiz de Fora,3101508,Além Paraíba,520,463,0.8903846153846153,225,36,0.16,122200
Varginha,3101607,Alfenas,925,866,0.9362162162162162,436,111,0.2545871559633027,234650
São João Del Rei,3101631,Alfredo Vasconcelos,100,80,0.8,103,8,0.07766990291262135,19800
Almenara,3101706,Almenara,1440,1198,0.8319444444444445,177,51,0.288135593220339,327100
Governador Valadares,3101805,Alpercata,148,134,0.9054054054054054,32,12,0.375,34300
Passos,3101904,Alpinópolis,120,111,0.925,184,76,0.41304347826086957,35900
Passos,3102001,Alterosa,212,179,0.8443396226415094,95,17,0.17894736842105263,46200
Muriaé,3102050,Alto Caparaó,91,78,0.8571428571428571,55,7,0.12727272727272726,20500
São João Del Rei,3102100,Alto Rio Doce,772,681,0.8821243523316062,49,7,0.14285714285714285,191000
Governador Valadares,3102209,Alvarenga,206,204,0.9902912621359223,47,13,0.2765957446808511,54350
Timóteo,3102308,Alvinópolis,588,582,0.9897959183673469,145,82,0.5655172413793104,168000
Diamantina,3102407,Alvorada de Minas,457,358,0.7833698030634574,45,12,0.26666666666666666,104200
Muriaé,3102506,Amparo da Serra,157,136,0.8662420382165605,7,0,0,34850
Poços de Caldas,3102605,Andradas,103,77,0.7475728155339806,178,32,0.1797752808988764,22700
Salinas,3102704,Cachoeira de Pajeú,679,675,0.9941089837997055,60,37,0.6166666666666667,198100
Juiz de Fora,3102803,Andrelândia,174,148,0.8505747126436781,43,3,0.06976744186046512,35800
Diamantina,3102852,Angelândia,607,525,0.8649093904448105,145,68,0.4689655172413793,158200
São João Del Rei,3102902,Antônio Carlos,196,176,0.8979591836734694,142,26,0.18309859154929578,46600
Timóteo,3103009,Antônio Dias,372,353,0.9489247311827957,86,25,0.29069767441860467,100100
Muriaé,3103108,Antônio Prado de Minas,43,36,0.8372093023255814,21,4,0.19047619047619047,10100
Curvelo,3103207,Araçaí,28,22,0.7857142857142857,7,0,0,5900
Juiz de Fora,3103306,Aracitaba,24,24,1,12,9,0.75,7800
Araçuaí,3103405,Araçuaí,1859,1768,0.951048951048951,362,156,0.430939226519337,513050
Uberlândia,3103504,Araguari,1522,1469,0.9651773981603153,760,175,0.23026315789473684,405000
Juiz de Fora,3103603,Arantina,43,37,0.8604651162790697,1,0,0,9400
Muriaé,3103702,Araponga,167,110,0.6586826347305389,122,20,0.16393442622950818,31800
Uberlândia,3103751,Araporã,16,15,0.9375,6,1,0.16666666666666666,3600
Patos de Minas,3103801,Arapuá,22,22,1,5,0,0,5100
Divinópolis,3103900,Araújos,34,30,0.8823529411764706,30,2,0.06666666666666667,8400
Uberaba,3104007,Araxá,1319,1270,0.9628506444275967,308,120,0.38961038961038963,339400
Poços de Caldas,3104106,Arceburgo,66,65,0.9848484848484849,36,5,0.1388888888888889,18700
Divinópolis,3104205,Arcos,276,242,0.8768115942028986,133,18,0.13533834586466165,64100
Varginha,3104304,Areado,100,93,0.93,114,25,0.21929824561403508,27800
Juiz de Fora,3104403,Argirita,22,22,1,6,3,0.5,6300
Diamantina,3104452,Aricanduva,435,373,0.8574712643678161,44,13,0.29545454545454547,111500
Paracatu,3104502,Arinos,1008,858,0.8511904761904762,105,48,0.45714285714285713,247200
Juiz de Fora,3104601,Astolfo Dutra,133,118,0.8872180451127819,68,4,0.058823529411764705,32500
Teófilo Otoni,3104700,Ataléia,890,799,0.8977528089887641,101,25,0.24752475247524752,234350
Curvelo,3104809,Augusto de Lima,95,86,0.9052631578947369,23,7,0.30434782608695654,23800
Varginha,3104908,Baependi,389,268,0.6889460154241646,100,24,0.24,71200
Metropolitana,3105004,Baldim,221,216,0.9773755656108597,67,14,0.208955223880597,56100
Divinópolis,3105103,Bambuí,216,195,0.9027777777777778,117,25,0.21367521367521367,51700
Almenara,3105202,Bandeira,161,127,0.7888198757763976,57,23,0.40350877192982454,39100
Poços de Caldas,3105301,Bandeira do Sul,24,24,1,17,0,0,6700
Metropolitana,3105400,Barão de Cocais,323,299,0.9256965944272446,189,38,0.20105820105820105,81800
Muriaé,3105509,Barão de Monte Alto,179,177,0.9888268156424581,35,15,0.42857142857142855,50400
São João Del Rei,3105608,Barbacena,1177,1106,0.9396771452846219,635,115,0.18110236220472442,299200
Timóteo,3105707,Barra Longa,339,311,0.9174041297935103,35,12,0.34285714285714286,91500
São João Del Rei,3105905,Barroso,711,697,0.980309423347398,86,19,0.22093023255813954,178900
Timóteo,3106002,Bela Vista de Minas,201,187,0.9303482587064676,53,13,0.24528301886792453,49200
Juiz de Fora,3106101,Belmiro Braga,66,62,0.9393939393939394,30,8,0.26666666666666666,17150
Metropolitana,3106200,Belo Horizonte,15941,15281,0.9585973276456935,6561,1960,0.29873494894071023,4344250
Timóteo,3106309,Belo Oriente,548,531,0.968978102189781,64,20,0.3125,140250
Metropolitana,3106408,Belo Vale,77,65,0.8441558441558441,84,7,0.08333333333333333,16300
Araçuaí,3106507,Berilo,648,630,0.9722222222222222,124,59,0.47580645161290325,187100
Teófilo Otoni,3106606,Bertópolis,497,487,0.9798792756539235,13,9,0.6923076923076923,120900
Salinas,3106655,Berizal,446,432,0.968609865470852,24,14,0.5833333333333334,122900
Metropolitana,3106705,Betim,6141,5948,0.9685718938283667,1082,290,0.2680221811460259,1617550
Juiz de Fora,3106804,Bias Fortes,174,164,0.9425287356321839,12,5,0.4166666666666667,42700
Juiz de Fora,3106903,Bicas,156,146,0.9358974358974359,33,10,0.30303030303030304,37900
Divinópolis,3107000,Biquinhas,23,17,0.7391304347826086,7,0,0,4500
Varginha,3107109,Boa Esperança,286,271,0.9475524475524476,518,245,0.47297297297297297,94000
Juiz de Fora,3107208,Bocaina de Minas,30,30,1,4,0,0,7700
Montes Claros,3107307,Bocaiúva,3634,3501,0.9634012107870116,261,136,0.5210727969348659,1010350
Divinópolis,3107406,Bom Despacho,530,481,0.9075471698113208,338,72,0.21301775147928995,134100
Juiz de Fora,3107505,Bom Jardim de Minas,99,93,0.9393939393939394,34,5,0.14705882352941177,25200
