Diretoria Regional,Percentual de alunos extremamente pobres que receberam o benefício,Percentual de alunos pobres que receberam o benefício
Almenara,90.91532732261858,29.956709956709958
Araçuaí,93.6617262423714,36.01301115241636
Curvelo,93.62875956575904,27.268244575936883
Diamantina,91.20374382528816,38.70869033047736
Divinópolis,90.81875582237863,19.590397851267415
Governador Valadares,88.66132723112128,25.81713462922966
Ituiutaba,86.9061876247505,21.003861003861005
Juiz de Fora,90.83185141276428,22.143304783789432
Metropolitana,94.66755082566434,28.20269500854052
Montes Claros,92.3447561579682,37.40097758301028
Muriaé,82.14799741922675,16.24548736462094
Paracatu,86.76700269771405,22.967309304274938
Passos,91.7824074074074,36.644951140065146
Patos de Minas,93.25381306218225,20.166073546856463
Poços de Caldas,84.45297504798465,16.855270994639667
Salinas,95.17793741226984,43.128734383487235
São João Del Rei,92.34536549972792,22.857142857142858
Teófilo Otoni,90.59326563335115,30.73446327683616
Timóteo,92.11965960402918,24.065083322398635
Uberaba,92.64234161988773,30.206611570247933
Uberlândia,93.87450199203188,24.30734075978292
Varginha,91.76499308324519,22.70168855534709
