"","Diretoria.Regional","n_alunos","n_familias","n_alunos_recebeu","n_familias_recebeu","perc_alunos_recebeu","perc_familias_recebeu","n_alunos_recebeu_todas_parcelas","n_familias_recebeu_todas_parcelas","perc_familias_recebeu_todas_parcelas","n_alunos_recebeu_parcialmente","n_familias_recebeu_parcialmente","n_familias_nao_recebeu"
"1","Salinas",12086,8581,11477,8097,94.9611120304484,94.3596317445519,9605,6612,77.0539564153362,1872,1485,484
"2","Metropolitana",61629,45079,58207,42391,94.4474192344513,94.0371348077819,37543,26281,58.299873555314,20664,16110,2688
"3","Curvelo",5322,3928,4982,3658,93.6114242765878,93.1262729124236,3087,2172,55.2953156822811,1895,1486,270
"4","Uberlândia",6015,4260,5641,3964,93.7822111388196,93.0516431924883,3150,2097,49.2253521126761,2491,1867,296
"5","Patos de Minas",4864,3577,4527,3328,93.0715460526316,93.0388593793682,2519,1773,49.5666759854627,2008,1555,249
"6","Uberaba",5215,3796,4826,3509,92.5407478427613,92.4394099051633,2720,1894,49.8946259220232,2106,1615,287
"7","Araçuaí",11450,7699,10674,7098,93.2227074235808,92.1937914014807,8714,5645,73.3212105468243,1960,1453,601
"8","São João Del Rei",11014,7956,10135,7295,92.0192482295261,91.691804927099,6091,4248,53.393665158371,4044,3047,661
"9","Timóteo",22984,17012,21092,15528,91.7681865645667,91.2767458264754,13647,9650,56.7246649423936,7445,5878,1484
"10","Montes Claros",66478,45010,61278,41035,92.1778633532898,91.1686291935126,50602,32897,73.0882026216396,10676,8138,3975
"11","Passos",5177,3726,4740,3385,91.5588178481746,90.8480944712829,2889,1971,52.8985507246377,1851,1414,341
"12","Varginha",12266,8726,11223,7925,91.4968204793739,90.8205363282145,5966,4034,46.2296584918634,5257,3891,801
"13","Divinópolis",9932,7215,8990,6507,90.5155054369714,90.1871101871102,5238,3640,50.4504504504505,3752,2867,708
"14","Juiz de Fora",10113,7464,9158,6711,90.556709186196,89.911575562701,5076,3558,47.6688102893891,4082,3153,753
"15","Almenara",10188,7386,9230,6629,90.5967805261091,89.7508800433252,6864,4770,64.5816409423233,2366,1859,757
"16","Diamantina",11480,7433,10371,6665,90.3397212543554,89.667698103054,7947,4942,66.4872864254002,2424,1723,768
"17","Teófilo Otoni",26137,16673,23582,14800,90.2245858361709,88.7662688178492,18500,11302,67.7862412283332,5082,3498,1873
"18","Governador Valadares",26181,19080,23066,16687,88.1020587448913,87.458071278826,14231,9922,52.0020964360587,8835,6765,2393
"19","Ituiutaba",2502,1922,2166,1659,86.5707434052758,86.3163371488033,1231,917,47.7107180020812,935,742,263
"20","Paracatu",7033,4983,6096,4267,86.6770937011233,85.6311458960466,4126,2781,55.8097531607465,1970,1486,716
"21","Poços de Caldas",6236,4621,5242,3842,84.0602950609365,83.1421770179615,3142,2204,47.6953040467431,2100,1638,779
"22","Muriaé",20113,14526,16376,11714,81.4199771292199,80.6416081509018,9964,6854,47.1843590802699,6412,4860,2812
