"","Diretoria.Regional","Código.IBGE","municipio","n_alunos","n_alunos_recebeu","perc_alunos_recebeu","n_alunos_pobres","n_alunos_recebeu_pobres","perc_alunos_recebeu_pobres"
"1","Uberlândia",3100104,"ABADIA DOS DOURADOS",78,66,0.846153846153846,31,0,0
"2","Divinópolis",3100203,"ABAETE",98,91,0.928571428571429,151,28,0.185430463576159
"3","Timóteo",3100302,"ABRE CAMPO",459,339,0.738562091503268,126,49,0.388888888888889
"4","Timóteo",3100401,"ACAIACA",165,162,0.981818181818182,20,18,0.9
"5","Governador Valadares",3100500,"ACUCENA",396,333,0.840909090909091,82,22,0.268292682926829
"6","Teófilo Otoni",3100609,"AGUA BOA",1544,1299,0.841321243523316,92,22,0.239130434782609
"7","Uberaba",3100708,"AGUA COMPRIDA",61,58,0.950819672131147,0,0,0
"8","Divinópolis",3100807,"AGUANIL",53,44,0.830188679245283,20,5,0.25
"9","Teófilo Otoni",3100906,"AGUAS FORMOSAS",1482,1428,0.963562753036437,191,83,0.43455497382199
"10","Salinas",3101003,"AGUAS VERMELHAS",1346,1338,0.99405646359584,101,42,0.415841584158416
"11","Governador Valadares",3101102,"AIMORES",509,486,0.954813359528487,258,71,0.275193798449612
"12","Varginha",3101201,"AIURUOCA",67,45,0.671641791044776,14,0,0
"13","Varginha",3101300,"ALAGOA",16,14,0.875,7,0,0
"14","Poços de Caldas",3101409,"ALBERTINA",4,3,0.75,1,0,0
"15","Juiz de Fora",3101508,"ALEM PARAIBA",519,462,0.890173410404624,225,33,0.146666666666667
"16","Varginha",3101607,"ALFENAS",920,861,0.935869565217391,435,101,0.232183908045977
"17","São João Del Rei",3101631,"ALFREDO VASCONCELOS",100,80,0.8,103,7,0.0679611650485437
"18","Almenara",3101706,"ALMENARA",1435,1191,0.829965156794425,175,50,0.285714285714286
"19","Governador Valadares",3101805,"ALPERCATA",148,134,0.905405405405405,32,9,0.28125
"20","Passos",3101904,"ALPINOPOLIS",120,111,0.925,182,62,0.340659340659341
"21","Passos",3102001,"ALTEROSA",212,173,0.816037735849057,95,13,0.136842105263158
"22","Muriaé",3102050,"ALTO CAPARAO",90,75,0.833333333333333,55,7,0.127272727272727
"23","Muriaé",3153509,"ALTO JEQUITIBA",307,213,0.693811074918567,114,15,0.131578947368421
"24","São João Del Rei",3102100,"ALTO RIO DOCE",769,673,0.875162548764629,49,7,0.142857142857143
"25","Governador Valadares",3102209,"ALVARENGA",206,204,0.990291262135922,47,13,0.276595744680851
"26","Timóteo",3102308,"ALVINOPOLIS",586,578,0.986348122866894,145,65,0.448275862068966
"27","Diamantina",3102407,"ALVORADA DE MINAS",457,358,0.783369803063457,45,12,0.266666666666667
"28","Muriaé",3102506,"AMPARO DA SERRA",157,136,0.866242038216561,7,0,0
"29","Poços de Caldas",3102605,"ANDRADAS",103,77,0.747572815533981,178,23,0.129213483146067
"30","Juiz de Fora",3102803,"ANDRELANDIA",174,148,0.850574712643678,43,1,0.0232558139534884
"31","Diamantina",3102852,"ANGELANDIA",607,510,0.840197693574959,145,43,0.296551724137931
"32","São João Del Rei",3102902,"ANTONIO CARLOS",195,175,0.897435897435897,141,22,0.156028368794326
"33","Timóteo",3103009,"ANTONIO DIAS",372,353,0.948924731182796,86,24,0.27906976744186
"34","Muriaé",3103108,"ANTONIO PRADO DE MINAS",43,36,0.837209302325581,21,4,0.19047619047619
"35","Curvelo",3103207,"ARACAI",27,22,0.814814814814815,7,0,0
"36","Juiz de Fora",3103306,"ARACITABA",24,24,1,12,9,0.75
"37","Araçuaí",3103405,"ARACUAI",1853,1766,0.953049109552078,362,141,0.389502762430939
"38","Uberlândia",3103504,"ARAGUARI",1518,1467,0.966403162055336,757,161,0.212681638044914
"39","Juiz de Fora",3103603,"ARANTINA",42,35,0.833333333333333,1,0,0
"40","Muriaé",3103702,"ARAPONGA",167,110,0.658682634730539,122,19,0.155737704918033
"41","Uberlândia",3103751,"ARAPORA",16,15,0.9375,6,1,0.166666666666667
"42","Patos de Minas",3103801,"ARAPUA",22,22,1,5,0,0
"43","Divinópolis",3103900,"ARAUJOS",34,30,0.882352941176471,30,2,0.0666666666666667
"44","Uberaba",3104007,"ARAXA",1316,1266,0.962006079027356,307,98,0.319218241042345
"45","Poços de Caldas",3104106,"ARCEBURGO",65,64,0.984615384615385,36,5,0.138888888888889
"46","Divinópolis",3104205,"ARCOS",275,239,0.869090909090909,133,15,0.112781954887218
"47","Varginha",3104304,"AREADO",100,93,0.93,113,24,0.212389380530973
"48","Juiz de Fora",3104403,"ARGIRITA",22,22,1,6,1,0.166666666666667
"49","Diamantina",3104452,"ARICANDUVA",434,364,0.838709677419355,43,11,0.255813953488372
"50","Paracatu",3104502,"ARINOS",1008,856,0.849206349206349,105,48,0.457142857142857
"51","Juiz de Fora",3104601,"ASTOLFO DUTRA",133,118,0.887218045112782,68,3,0.0441176470588235
"52","Teófilo Otoni",3104700,"ATALEIA",891,798,0.895622895622896,101,25,0.247524752475248
"53","Curvelo",3104809,"AUGUSTO DE LIMA",95,85,0.894736842105263,23,6,0.260869565217391
"54","Varginha",3104908,"BAEPENDI",389,258,0.663239074550129,100,20,0.2
"55","Metropolitana",3105004,"BALDIM",221,215,0.972850678733032,67,12,0.17910447761194
"56","Divinópolis",3105103,"BAMBUI",216,194,0.898148148148148,116,23,0.198275862068966
"57","Almenara",3105202,"BANDEIRA",161,127,0.788819875776398,57,22,0.385964912280702
"58","Poços de Caldas",3105301,"BANDEIRA DO SUL",24,24,1,17,0,0
"59","Metropolitana",3105400,"BARAO DE COCAIS",323,299,0.925696594427245,189,37,0.195767195767196
"60","Muriaé",3105509,"BARAO DE MONTE ALTO",177,175,0.988700564971751,34,14,0.411764705882353
"61","São João Del Rei",3105608,"BARBACENA",1171,1096,0.935952177625961,633,97,0.153238546603476
"62","Timóteo",3105707,"BARRA LONGA",339,308,0.908554572271386,35,6,0.171428571428571
"63","São João Del Rei",3105905,"BARROSO",711,697,0.980309423347398,86,18,0.209302325581395
"64","Timóteo",3106002,"BELA VISTA DE MINAS",201,186,0.925373134328358,52,12,0.230769230769231
"65","Juiz de Fora",3106101,"BELMIRO BRAGA",66,61,0.924242424242424,30,6,0.2
"66","Metropolitana",3106200,"BELO HORIZONTE",15869,15193,0.957401222509295,6528,1669,0.255667892156863
"67","Timóteo",3106309,"BELO ORIENTE",548,531,0.968978102189781,64,20,0.3125
"68","Metropolitana",3106408,"BELO VALE",77,65,0.844155844155844,84,5,0.0595238095238095
"69","Araçuaí",3106507,"BERILO",647,626,0.967542503863988,124,50,0.403225806451613
"70","Salinas",3106655,"BERIZAL",440,429,0.975,24,14,0.583333333333333
"71","Teófilo Otoni",3106606,"BERTOPOLIS",497,487,0.979879275653924,13,8,0.615384615384615
"72","Metropolitana",3106705,"BETIM",6127,5927,0.967357597519177,1078,238,0.220779220779221
"73","Juiz de Fora",3106804,"BIAS FORTES",174,164,0.942528735632184,12,5,0.416666666666667
